Название,Класс вещества,Молекулярная масса (г/моль)
Вода,Неорганическое соединение,18.015
Метан,Органическое соединение,16.04
Этанол,Органическое соединение,46.07
Хлорид натрия,Неорганическое соединение,58.44
Глюкоза,Углевод,180.16
Аммиак,Неорганическое соединение,17.03
Бензол,Ароматическое соединение,78.11
Серная кислота,Неорганическое соединение,98.079
Уксусная кислота,Органическое соединение,60.05
Кислород,Простое вещество,32.00
Азот,Простое вещество,28.01
Сахароза,Углевод,342.30
Метанол,Органическое соединение,32.04
Диоксид углерода,Простое вещество,44.01
Пропан,Органическое соединение,44.10
Фенол,Ароматическое соединение,94.11
Фосфорная кислота,Неорганическое соединение,97.99
Гидроксид калия,Неорганическое соединение,56.11
Ацетон,Органическое соединение,58.08
Кальций карбонат,Неорганическое соединение,100.09
